door,861
doing,860
sleep,856
murder,850
different,847
buy,846
speak,844
brothers,831
doin,827
right,,824
probably,824
this,,819
who's,818
girl,,817
grab,814
together,814
gangsta,813
here,,812
send,811
lil,809
strong,809
(i,808
mama,808
paid,808
tha,808
stick,804
forget,804
lose,802
tryin',802
pick,802
wait,801
truth,797
nice,797
tryna,794
bet,793
cats,793
miss,791
green,790
fresh,788
number,787
shake,783
trust,783
called,782
million,782
born,781
saw,780
drink,779
feeling,776
til,775
fool,772
nine,769
tight,765
da,762
off,,759
feet,758
part,758
dirty,757
floor,756
far,755
somethin,754
write,751
six,749
couple,748
bang,747
what?,746
they're,746
said,,746
ten,745
sex,745
men,744
running,743
air,739
yourself,737
scared,735
shots,735
wouldn't,735
makes,734
sometimes,732
past,732
dough,730
deal,730
like,,728
pimp,728
blue,725
daddy,720
momma,719
room,719
go,,717
one,,716
stuck,715
dance,713
few,713
[hook],712
already,711
whatever,710
town,709
burn,707
wonder,706
tonight,706
shine,704
love,,703
meet,703
flip,701
dream,700
women,698
follow,696
mr.,696
power,694
wild,691
found,691
makin,691
thang,691
thinking,689
wanted,688
it’s,687
game,,687
ball,686
shorty,685
dollar,684
york,683
alone,683
wake,682
against,679
knock,679
hip-hop,679
soon,678
ya,,677
double,676
picture,676
reason,673
dark,672
nothin',672
bone,670
don’t,668
phone,666
eye,665
nothin,663
year,659
haters,656
known,656
friend,656
water,655
lookin',655
jump,655
west,655
blast,653
motherfucking,652
track,650
buck,650
kind,648
corner,647
both,646
ones,645
state,644
south,643
record,643
round,643
land,642
none,640
pray,638
kiss,638
learn,637
mother,634
comin',634
raw,632
in,,631
locked,631
push,630
'em,,629
beef,628
ladies,627
thugs,626
bought,626
wet,626
police,626
point,625
read,623
sun,623
chest,622
forever,619
real,,619
cop,618
hurt,617
case,617
boy,,613
see,,612
ain’t,607
gon,607
late,605
saying,605
say,,604
lights,604
shut,604
hop,604
between,604
us,,602
very,601
today,601
each,601
goin',600
piece,599
boss,599
yet,599
livin,597
plan,597
no,,595
taking,592
fact,592
fear,592
save,592
team,591
pretty,591
mc's,591
neck,590
rather,590
bag,590
hang,590
here's,589
business,589
kinda,588
star,588
that'll,586
hair,586
sing,584
dreams,584
hustle,581
clothes,581
beats,580
we'll,580
bounce,578
talkin',577
runnin,577
thats,576
c'mon,574
suck,572
do,,572
played,571
kept,570
i,,567
pack,566
ground,565
rain,565
may,564
mo',562
sky,562
wear,559
homie,559
ill,557
anything,555
chain,553
sweet,550
ran,549
met,547
drive,547
hip,546
uhh,,545
test,543
holla,542
--,541
bit,541
drug,538
god,,537
punk,536
stupid,535
&amp;,532
y'all,,531
chick,529
her,,528
box,528
freak,527
else,527
lie,527
great,526
jail,526
control,524
clean,524
spend,524
heavy,524
well,,522
fine,521
which,519
lady,519
glock,518
day,,517
master,516
does,515
im,515
g's,514
homies,514
road,512
ah,512
wall,510
oh,,510
second,506
dont,506
sold,506
story,506
clear,502
chill,502
child,501
lead,500
dumb,499
it?,499
turned,499
funny,498
wit',498
him,,497
bullshit,497
earth,495
jack,495
handle,494
easy,494
dj,494
smoking,494
thank,493
playing,493
job,493
crime,492
shoes,491
bed,490
steady,490
brought,487
hey,,486
doin',485
what,,483
grind,482
taste,482
coke,482
rocks,480
felt,479
either,478
jam,476
feelin,476
means,475
cars,474
takin,474
coast,473
smile,473
cock,473
east,471
suckers,471
tired,471
bomb,471
son,,470
cry,470
across,469
split,469
killed,468
weak,466
dem,466
grow,466
(you,466
rip,465
devil,465
pump,465
brand,464
grown,464
chrome,463
scene,463
woman,462
hook,462
dirt,462
worth,462
everyday,461
blind,461
sayin,460
you've,460
drama,459
crib,459
swear,459
instead,459
2x,459
mc,459
is,,459
chorus:,459
drugs,458
thinkin,456
yea,456
thoughts,455
breath,455
thousand,454
bigger,454
heaven,454
food,453
glass,452
father,452
gucci,451
good,,451
ways,450
middle,450
hide,450
